"from,","to,",weight
TD,RR,2
RR,DZ,3
RR,MK,2
RR,TD,2
RR,HC,1
RR,DW,2
RR,EK,3
RR,TK,1
DZ,RR,3
DZ,EK,2
DZ,DW,1
MK,RR,2
MK,DW,1
HC,RR,1
HC,EK,2
DW,EK,3
DW,MK,1
EK,TK,3
EK,DZ,2
EK,DW,3
EK,HC,2
TK,RR,1
TK,EK,3
DW,RR,2
EK,RR,3
